column_name,role,dtype
MIN_CONC,numeric,float64
MAX_CONC,numeric,float64
matched_source_count,numeric,int64
bridge_component_count,numeric,int64
drugbank_candidate_count,numeric,int64
chembl_candidate_count,numeric,int64
lincs_candidate_count,numeric,int64
admet_candidate_count,numeric,int64
token_count,numeric,float64
matched_unique_token_count,numeric,float64
ambiguous_token_count,numeric,float64
unmatched_token_count,numeric,float64
cell_bridge_candidate_count,numeric,int64
has_depmap_cell_line_bridge,numeric,int8
has_drug_bridge_any_source,numeric,int8
has_drug_bridge_two_or_more_sources,numeric,int8
has_gene_target_bridge,numeric,int8
has_stage3_gene_resolution,numeric,int8
manual_alias_applied,numeric,int8
drugbank_ambiguous,numeric,int8
chembl_ambiguous,numeric,int8
lincs_ambiguous,numeric,int8
admet_ambiguous,numeric,int8
is_brca_gdsc_model,numeric,int8
cell_bridge_ambiguous,numeric,int8
classification,categorical,object
drug_bridge_strength,categorical,object
stage3_resolution_status,categorical,object
WEBRELEASE,categorical,object
drugbank_match_rule,categorical,object
chembl_match_rule,categorical,object
lincs_match_rule,categorical,object
admet_match_rule,categorical,object
cell_bridge_match_rule,categorical,object
LN_IC50,numeric,float64
AUC,numeric,float64
RMSE,numeric,float64
Z_SCORE,numeric,float64
label_rank_neg_ln_ic50,numeric,float64
label_rank_neg_auc,numeric,float64
query_id,auxiliary,object
drugbank_matched_id,auxiliary,object
chembl_matched_id,auxiliary,object
depmap_model_id,auxiliary,object
fe_db_human_target_count,numeric,float64
fe_db_target_row_count,numeric,float64
fe_db_known_action_yes_count,numeric,float64
fe_db_known_action_no_count,numeric,float64
fe_db_gene_name_present_count,numeric,float64
fe_db_action_token_count,numeric,float64
fe_chembl_mechanism_count,numeric,Int64
fe_chembl_target_tid_count,numeric,float64
fe_chembl_direct_interaction_count,numeric,float64
fe_chembl_molecular_mechanism_count,numeric,float64
fe_chembl_disease_efficacy_count,numeric,float64
fe_chembl_single_protein_target_count,numeric,float64
fe_target_gene_count,numeric,int64
fe_target_gene_has_signature,numeric,int64
fe_target_gene_in_drugbank_ref_count,numeric,int64
fe_target_gene_in_depmap_ref_count,numeric,int64
fe_target_gene_in_ot_ref_count,numeric,int64
fe_ot_breast_target_count,numeric,int64
fe_ot_breast_score_max_target,numeric,float64
fe_ot_breast_score_mean_target,numeric,float64
fe_ot_breast_evidence_sum_target,numeric,float64
fe_ot_breast_disease_count_target,numeric,float64
fe_depmap_effect_mean,numeric,float64
fe_depmap_effect_min,numeric,float64
fe_depmap_effect_max,numeric,float64
fe_depmap_effect_available_gene_count,numeric,int64
fe_depmap_dependency_mean,numeric,float64
fe_depmap_dependency_min,numeric,float64
fe_depmap_dependency_max,numeric,float64
fe_depmap_dependency_available_gene_count,numeric,int64
fe_hallmark_ADIPOGENESIS_effect_mean,numeric,float64
fe_hallmark_ADIPOGENESIS_dependency_mean,numeric,float64
fe_hallmark_ALLOGRAFT_REJECTION_effect_mean,numeric,float64
fe_hallmark_ALLOGRAFT_REJECTION_dependency_mean,numeric,float64
