final_rank,drug_id,drug_name,target,pathway,pred_ic50,sensitivity_rate,safety_score,category,flags,combined_score,n_assays_tested
1,1817,Romidepsin,"HDAC1, HDAC2, HDAC3, HDAC8",Chromatin histone acetylation,-4.740945,1.0,12.0,Approved,[],19.0,2
2,1941,Sepantronium bromide,BIRC5,Apoptosis regulation,-3.8545094,1.0,10.0,Candidate,[],16.5,1
3,1034,Staurosporine,Broad spectrum kinase inhibitor,RTK signaling,-2.476121,1.0,10.0,Candidate,[],13.5,1
4,1494,SN-38,TOP1,DNA replication,-2.4624267,1.0,10.0,Candidate,[],13.0,5
5,1007,Docetaxel,Microtubule stabiliser,Mitosis,-3.303375,1.0,6.83,Approved,['DILI (Drug-Induced Liver Injury)(+)'],12.83,12
6,1191,Bortezomib,Proteasome,Protein stability and degradation,-4.751671,1.0,5.29,Approved,['DILI (Drug-Induced Liver Injury)(+)'],12.79,7
7,1911,Dactinomycin,RNA polymerase,Other,-3.017822,1.0,7.0,Approved,['DILI (Drug-Induced Liver Injury)(+)'],12.5,5
8,2048,Vinorelbine,Microtubule destabiliser,Mitosis,-2.830103,1.0,8.0,Approved,[],12.5,10
9,1180,Dinaciclib,"CDK1, CDK2, CDK5, CDK9",Cell cycle,-2.1907222,1.0,10.0,Candidate,[],12.0,4
10,1080,Paclitaxel,Microtubule stabiliser,Mitosis,-2.8374474,1.0,6.83,Approved,['DILI (Drug-Induced Liver Injury)(+)'],11.83,12
11,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.7405567,1.0,7.83,Approved,[],11.83,12
12,1003,Camptothecin,TOP1,DNA replication,-0.5441507,1.0,10.0,Candidate,[],11.0,5
13,1084,Rapamycin,MTORC1,PI3K/MTOR signaling,-2.3947394,1.0,7.71,Approved,[],10.21,7
14,1559,Luminespib,HSP90,Protein stability and degradation,-1.8342931,1.0,5.0,Candidate,[],6.5,0
15,1511,Epirubicin,Anthracycline,DNA replication,0.092702374,1.0,2.83,Caution,"['Ames Mutagenicity(+)', 'DILI (Drug-Induced Liver Injury)(+)']",3.33,15
