drug_id,drug_name,mean_pred_ic50,mean_true_ic50,std_pred_ic50,n_samples,sensitivity_rate,rank,category,score,final_rank
1819,docetaxel,-4.3071065,-1.764844,0.5228827,25,0.92,1,Validated,28.0,1
1080,paclitaxel,-3.4391427,-2.779678,0.59379864,28,1.0,2,Validated,50.0,2
1811,dactinomycin,-2.999836,-1.8154681,0.696528,26,1.0,3,Validated,49.0,3
1016,temsirolimus,-2.30802,1.3265878,0.53631973,26,0.9230769230769231,4,Validated,27.0,4
1024,lestaurtinib,-1.7008339,0.62848645,0.59585816,28,0.9642857142857143,5,Validated,30.0,5
2048,vinorelbine,-1.5775554,-2.7805393,0.853977,28,1.0,6,Validated,46.0,6
1004,vinblastine,-1.4824135,-2.7355084,0.6839957,27,1.0,7,Validated,45.0,7
1034,staurosporine,-0.2666945,-2.5313642,0.7718672,29,1.0,9,Validated,43.0,8
1026,tanespimycin,0.5398705,-0.13994817,0.8289335,28,1.0,12,Validated,40.0,9
1511,epirubicin,0.6785437,0.062827714,0.8988778,28,1.0,13,Validated,39.0,10
1084,rapamycin,0.77469987,-2.5873635,0.66097784,28,1.0,14,Validated,38.0,11
1862,mg132,0.9555576,-1.20403,0.7484633,29,1.0,17,Validated,35.0,12
1191,bortezomib,1.2839334,-5.1592407,0.7511377,28,1.0,19,Validated,33.0,13
1849,sabutoclax,1.3245382,-0.12460256,0.67540854,27,1.0,20,Validated,32.0,14
1817,romidepsin,1.5493195,-5.024497,0.6390663,26,1.0,22,Validated,30.0,15
