drug_id,drug_name,mean_pred_ic50,mean_true_ic50,std_pred_ic50,n_samples,sensitivity_rate,rank,category,score
1191,bortezomib,-4.751671,-5.1592407,0.6777743,28,1.0,1,Validated,43.0
1817,romidepsin,-4.740945,-5.024497,0.7222798,26,1.0,2,Validated,42.0
1941,sepantroniumbromide,-3.8545094,-3.8589985,0.79236794,28,1.0,3,Validated,41.0
1007,docetaxel,-3.303375,-4.1176643,1.3702282,29,1.0,4,Validated,40.0
1911,dactinomycin,-3.017822,-4.040127,1.0718911,28,1.0,5,Validated,39.0
1080,paclitaxel,-2.8374474,-2.779678,1.1449765,28,1.0,6,Validated,38.0
2048,vinorelbine,-2.830103,-2.7805393,0.90783393,28,1.0,7,Validated,37.0
1004,vinblastine,-2.7405567,-2.7355084,1.0744184,27,1.0,8,Validated,36.0
1034,staurosporine,-2.476121,-2.5313642,0.69906586,29,1.0,9,Validated,35.0
1494,sn38,-2.4624267,-2.6124706,0.8541661,28,1.0,10,Validated,34.0
1084,rapamycin,-2.3947394,-2.5873635,0.9937419,28,1.0,11,Validated,33.0
1180,dinaciclib,-2.1907222,-2.3472707,0.79128623,27,1.0,12,Validated,32.0
1248,daporinad,-1.8980116,-2.4797933,0.7089576,15,1.0,13,Validated,31.0
1559,luminespib,-1.8342931,-2.1197999,0.81584245,28,1.0,14,Validated,30.0
1862,mg132,-1.220103,-1.20403,0.6993971,29,1.0,15,Validated,29.0
1057,dactolisib,-1.1576824,-1.4217746,0.83886075,28,1.0,16,Validated,28.0
1003,camptothecin,-0.5441507,-0.8017532,0.844353,28,1.0,17,Validated,27.0
1825,podophyllotoxinbromide,-0.094112486,-0.18579899,0.778352,26,0.9230769230769231,18,Validated,-7.0
1026,tanespimycin,-0.03484783,-0.13994817,0.71126515,28,1.0,19,Validated,25.0
1059,azd8055,-0.030646939,-0.14524218,0.85595363,28,1.0,20,Validated,24.0
1849,sabutoclax,0.029292487,-0.12460256,0.5548861,27,1.0,21,Validated,23.0
1008,methotrexate,0.02998549,0.17289959,0.958086,27,0.9629629629629629,22,Validated,-7.0
1827,dihydrorotenone,0.04081088,-0.080729686,0.8626621,26,1.0,23,Validated,21.0
1511,epirubicin,0.092702374,0.062827714,0.83761525,28,1.0,24,Validated,20.0
1024,lestaurtinib,0.49838802,0.62848645,0.7252916,28,0.9642857142857143,25,Validated,-7.0
1926,gne317,0.5506491,0.4689668,0.8900956,28,0.9642857142857143,26,Validated,-8.0
1086,bi2536,0.5889831,0.49505028,0.730672,24,0.9583333333333334,27,Validated,-14.0
1022,azd7762,0.60686296,0.44987467,0.80324453,29,0.9655172413793104,28,Validated,-7.0
1808,topotecan,0.8916013,1.1310672,0.9753614,26,0.8846153846153846,29,Validated,-20.0
1039,sl0101,0.905228,4.010615,,1,0.0,30,Recommended,-28.0
